title,author,year,text_sample,text_filename
Reconceptualizing Archaeological Perspectives on Long-Term Political Change,Gary M. Feinman,2023,"A profound reshaping of social scientific knowledge is currently taking place. Compared to the natural and medical sciences, the social sciences have been remarkably conservative.

—Mike Savage (2021, p. 7)

The decades spanning the mid-nineteenth to the mid-twentieth centuries constituted an era of marked academic growth and institutionalization in many global regions. In the social sciences and history, this period was characterized by a focus on questions concerning the rise of early urban centers, variation in governance and leadership in large, hierarchically organized polities, and, more generally, the diversity of human political behaviors and relations—past and present (e.g., Almond 1996). These issues had already engaged philosophers and scholars for millennia (Almond 1996, Trigger 2006), but with the mid-nineteenth-century institutionalization of the academic social sciences, including archaeology, the foundations for contemporary conceptual perspectives and key underpinning tenets were rooted. The greater attention given to such issues was spurred by many factors that centered around increased global travel and intensified colonialism, which fostered growing awareness of the highly diverse ways in which humans were organized globally; expanded knowledge of the architectural and ruinous residuals of past (ancient) civilizations; and marked growth in the sizes of nation-states and colonialist empires of that era (e.g., Feinman & Neitzel 2020, Kohl 1998). Although much of the theorizing was aimed at explaining the triggers of organizational variation and diachronic change, the data on hand were mostly synchronic, drawn heavily from accounts of contemporary peoples, and that disjuncture has been and remains an impediment.

In archaeology and cognate disciplines, conceptual frames birthed in the nineteenth century were revised a century later, at which time they underpinned a burst of research (Binford 2002, Feinman & Price 2001). Key comparative approaches and archaeological research programs were initiated, and the findings from these have in turn defined the last 60–70 years of investigation and recent visions of long-term political change (e.g., Marcus 2008, Spencer 1997). Here, I briefly unpack this extended research history and note the wealth of empirical findings generated over the past several decades, much of it from archaeology. The integration and comparative synthesis of recent archaeological findings with other textual, ethnographic, and conceptual advances not only has expanded the material basis to assess long-term political change, but also raises issues with extant perspectives and tenets that have guided investigation.",vol52.5
Critical Geoarchaeology: From Depositional Processes to the Sociopolitics of Earthen Life,Andrew M. Bauer,2023,"Geoarchaeology—the practice of using techniques rooted in the geosciences to address archaeological research questions—has long-established foci on site-formation processes, geochronology, and the reconstruction of paleoenvironmental contexts as objects of scholarly investigation (e.g., Courty et al. 1989, Goldberg & Macphail 2006, Nicoll et al. 2021, Rapp & Hill 2006, Waters 1992). Such topics of inquiry have been so fundamental to the specialty that some scholars have suggested that all archaeology is essentially “geoarchaeology,” given the degree to which any archaeological interpretation is premised on assumptions or explicit inferences about the formation and preservation of the excavated archaeological record (cf. Maher 2017, Renfrew 1976). While geoarchaeological research justifiably and necessarily maintains emphases on understanding environmental factors that have contributed to shaping the formation, preservation, and contemporary distribution of the archaeological record at multiple spatial scales (e.g., Araujo et al. 2020, Bauer et al. 2004, Goff et al. 2021, Mallol & Mentzer 2017), in recent decades there has also been an increasing effort to establish stronger links between geoarchaeology and other interpretive and theoretical concerns of archaeology, anthropology, and the broader social sciences and humanities within which these disciplines are situated (e.g., Maher 2017). These efforts have generally taken several different forms of theoretical engagement that serve as the basis of this review. More specifically, here I focus on four overlapping research orientations that have explicitly extended the reach of geoarchaeological work beyond its more conventional topics: (a) interpretive, symbolic, and social approaches in geoarchaeological research; (b) articulations with recent developments in posthumanist and new materialist scholarship; (c) the application of geoarchaeological investigations to historical ecology and political ecology research programs; and (d) critical engagement with ongoing interdisciplinary scholarship on the Anthropocene.

Taken together, these different orientations offer new possibilities for geoarchaeological research to inform anthropological attention to social and environmental production and to contribute to broader conversations in the humanities and social sciences. However, these opportunities also come with challenges and pitfalls. The embrace of some strands of new materialist and posthumanist thought, for instance, has significant shortcomings in how this scholarship addresses concerns for power, inequalities, and political responsibility (e.g., Bauer & Bhan 2018, Harman 2009, Van Dyke 2015). Moreover, (geo)artifact classification schemes, typologies, and temporal systematics are not neutral analytical devices (e.g., Agbe-Davies 2016, Finney & Edwards 2016). Thus, to be clear, these new research orientations need not seamlessly articulate with each other. Yet collectively they enable geoarchaeological research to emphasize the social and cultural significance of earthen materials and substances in relationship to human–environment dynamics and histories at multiple temporal and spatial scales. Given the contemporary context of ongoing concerns for global environmental change (e.g., Crutzen 2002), such geoarchaeological research is thus well positioned to contribute to transdisciplinary conversations about social and environmental production, emphasizing, for instance, resilience and sustainability (e.g., Crumley et al. 2015, French et al. 2017) while also pushing beyond these interests to critically interrogate the ontologies and ideological bases in which conservation policies and discourses are rooted.",vol52.6
Slaving and Slave Trading in Africa,Rachel Ama Asaa Engmann,2023,"Slavery in Africa dates to antiquity, though no precise estimates of its scale exist. The terms “slave” and “slavery” are found in many African dialects, languages, and sayings. Yet, definitions of enslavement and slave status remain elusive precisely because it has existed in various forms across Africa, spatially and temporally. It is, therefore, useful to speak of slavery in Africa but not “African slavery,” as if slavery were coterminous with the continent (Cooper 1979). Large- and small-scale systems of servility and unfree labor in the Savanna and Sahel existed for centuries (Klein & Lovejoy 1979). Slave trading networks in Africa transported people across the Sahara and the Atlantic and Indian Oceans, with significant numbers of people sent to the Middle East, India, central Asia, and South and Southeast Asia. Africa, however, was not only a source of export of people; enslaved persons were also imported into the continent. Together, slaveries and slave trades have facilitated the movement of people, things, knowledge, skills, ideas, and imaginaries into, out of, and across Africa, transforming communities in the continent and beyond.

This review provides an overview of some of the themes and questions that have driven scholarly research into the dynamics and consequences of the capture, trade, and use of enslaved men, women, and children in Africa, with a focus on Ghana. I suggest that the history and legacies of slavery and slave trading cannot be understood without reference to African historiography, the politics of knowledge production, and present-day heritage tourism. In reviewing insights generated by historical and anthropological research, I also briefly introduce some of the possibilities, problems, and challenges of archaeological approaches to studying slavery and slave trading. These approaches offer fruitful future research directions and demonstrate that archaeology is in conversation with—and of value to—those outside the discipline.",vol52.7
"Water Needs, Water Insecurity, and Human Biology",Asher Y. Rosinger,2023,"Water is the most basic human need, yet it is among the most complex biocultural phenomena as it links the environment, culture, and biology (Rosinger 2020). Water needs, use, and security shape and are shaped by all facets of life—cultural, dietary, political, and environmental. There has been burgeoning research interest on water-related issues in anthropology and other fields due to water crises, climate change, and the declaration of water as a basic human right and its inclusion in the United Nations’ sustainable development goals. Two prior Annual Review of Anthropology articles used political, economic, and environmental anthropology approaches to discuss water (Ballestero 2019, Orlove & Caton 2010). Yet, globally, two billion people still lack access to safely managed drinking water (WHO & UNICEF 2021), which has tremendous health and human biology implications. An integrative approach linking physiological water needs to water insecurity (WI) is needed to attain a complete picture of how water affects human biology due to its inherent interdisciplinary nature.

There has been little integration of the water needs and WI literatures owing to differences in operationalization and scale (Wutich et al. 2020b). Water needs are approached as a physiological and nutritional question (Sawka et al. 2005) and examined on a more acute scale (hourly or daily). In contrast, WI is studied as an experiential or resource-based question (Jepson et al. 2017, Octavianti & Staddon 2021) and examined on a longer timescale (month or year). Yet how people meet both their immediate physiological water needs and the water needs for all of life's tasks, including cooking, hygiene, and livelihoods, is inherently connected and tied to human biological outcomes. Competing effects of hydration and stress along with ultimate and proximate causation related to coping strategies lead to complexities in deciphering how water needs versus WI affect human biology.
",vol52.8
Biological Normalcy,Andrea S. Wiley,2023,"Examining and contesting ideas about what is “normal” is a core concern for anthropologists, who describe human population variability and try to understand it within its local context and from a comparative perspective. In doing so, anthropologists challenge judgments about diverse ways of being, which include assumptions or assertions about what is normal human behavior or biology, and thereby provide more inclusive views of what it means to be human. The term normal is used in widely varying discourses beyond anthropology and has meanings that encompass the descriptive (statistical) and the evaluative (normative). When applied to human biology, these dual meanings are particularly evident in biomedicine, where normal is equated with healthy. However, embedded in the term healthy are biases about what is normal that come out of particular cultural and historical contexts. Here I review the ways that normal is understood and used in anthropological and related studies of human biology and biological variation and propose a framework for understanding how the two meanings of normal inform each other and their consequences for human biology.

This review has three interrelated aims. One is to examine uses of the term normal in anthropology and related fields, with a focus on how it is applied to the study of human biology and biological variation. The second is to develop the analytic framework of biological normalcy to identify relationships between the statistical/descriptive and evaluative/normative meanings of the term normal. The third is to provide some illustrative examples.",vol52.9
"Human Bodies in Extreme Environments
",Cara Ocobock,2023,"Human habitation of extreme environments is a long-standing area of interest within biological anthropology and human biology, and with good reason because humans have successfully inhabited every continent on this planet. Humans in extreme environments offer the opportunity to document evidence of multiple levels of adaptation from genetic to functional. We have come a long way over more than a century and gained a better understanding of human biological flexibility, phenotypically and genetically, in the face of extreme environments in terms of both adaptation and acclimatization, though there is still a great deal more to learn.

Unfortunately, there is a pressing need now more than ever to improve our understanding of how human bodies survive and thrive in extreme environments. The Intergovernmental Panel on Climate Change released its sobering sixth assessment report, which unequivocally states that human activity is driving global climate change (IPCC 2021). Human-induced climate change has resulted in increasingly variable and extreme weather events across the globe. Just within the United States in 2021, the state of Texas experienced an uncharacteristic ice storm, the Pacific Northwest grappled with extreme heat and extensive wildfires, and hurricanes flooded parts of the South and Northeast coasts. Globally, the 2022 men's World Cup in Qatar experienced unseasonably high temperatures and humidity, and in December 2022, the Horn of Africa was experiencing its worst drought in decades, devastating people through severe hunger, malnutrition, and dehydration.",vol52.10
"Environment, Epigenetics, and the Pace of Human Aging",Elisabeth A. Goldman and Kirstin N. Sterner,2023,"The demographics of the global population are changing in unprecedented ways. Over the next 3 decades, the number of adults aged 60 and older will increase twofold, to 2.1 billion, while the number of adults aged 80 and older will triple to 426 million (WHO 2021). Since the mid-twentieth century, average life expectancy has increased by more than 20 years, due in large part to medical and technological advancements, improved treatment of infectious disease, better sanitation, and food security in many parts of the world (K. Christensen et al. 2009, Vaupel et al. 2021), although discrepancies in the availability and accessibility of health care, technological, and nutritional resources still exist within and across national borders. However, the rise in average global life expectancy has not been accompanied by reductions in rates of chronic, noncommunicable disease, reflecting a lack of substantial progress in also extending average healthspan (i.e., the number of years a person maintains their desired quality of life free of major age-related disease or disability) (Crimmins 2015). As the older-adult population continues to expand, so does an already urgent need for a comprehensive social and public health infrastructure capable of supporting individuals as they age (Briller & Carrillo 2020, Crews 2022). Such infrastructure will require large investment, particularly in countries where health care systems are focused on addressing the burden of communicable diseases (i.e., infectious and parasitic diseases and maternal, perinatal, and nutritional conditions) and less focused on the types of chronic, noncommunicable diseases commonly associated with increased age. In addition, popular interest in “healthy aging”—maintaining feelings of physical and cognitive health, personal autonomy, and continued engagement with one's community throughout old age—has grown substantially in recent years (van Leeuwen et al. 2019). However, the question of how best to distinguish unhealthy aging from the natural but largely benign processes of physiological aging remains unresolved (Bribiescas 2020, Crews 1993, Galkin et al. 2020). Answering this question is key to supporting our burgeoning aging population as effectively and efficiently as possible, a goal that must include efforts aimed at prevention and therapeutic intervention while avoiding overtreatment that detracts from quality of life or personal autonomy for uncertain or very modest improvements in health.
",vol52.11
Gut Microbial Intersections with Human Ecology and Evolution,Katherine R. Amato and Rachel N. Carmody,2023,"Over the past two decades, it has become clear that the microbial community in and on the human body functions akin to an organ. This community, known as the microbiota, interacts with multiple body processes and systems, affecting metabolism, immunity, and behavior in myriad ways (Al Nabhani & Eberl 2020, Carmody & Bisanz 2023, Cryan et al. 2019, Pronovost & Hsiao 2019, Visconti et al. 2019). While some components of the microbiota are passed from parents to offspring, and can therefore be considered heritable, environmental factors such as diet, social networks, and hygiene practices also strongly shape the microbiota (Blaser 2016, David et al. 2014, Dominguez Bello et al. 2018, Korpela et al. 2018). As a result, the microbiota is considered a key mediator of host responses to environmental change and is likely a contributor to patterns of human ecology and evolution. However, research on the human microbiota to date has largely been clinical in nature, and important gaps remain in our knowledge that preclude a robust understanding of microbial contributions to human ecology and evolution. For example, it remains unclear which human traits are more strongly influenced by the human genome versus the human microbiota and the extent to which human genomic and microbiome content complement or conflict with each other. Nevertheless, the vast amount of existing microbiome data from humans and nonhuman primates provides an important starting point for understanding these complex relationships.

Here, we outline a broad framework for integrating the human microbiota into current perspectives on human ecology and evolution. Although microbes are found all over the human body, we focus primarily on the gut microbiota, given that it is the richest in both number and taxonomic diversity and is currently the most well-studied human-associated microbial community. We begin by exploring patterns of host-microbiome variation in modern human populations and the factors that drive it. We then describe current understanding of how the human microbiome has changed over evolutionary history and the processes that may have contributed to this change. Next, we leverage data from nonhuman primates to investigate how the gut microbiota can influence host ecology and evolution. Finally, we assess how well host-microbiota relationships identified in nonhuman primates are likely to translate to humans. In addition to summarizing the state of the field, our hope is that this review highlights key unanswered questions, contributes to the generation of new testable hypotheses, and encourages ongoing proliferation of research in this area.",vol52.12
Biocultural Lactation: Integrated Approaches to Studying Lactation Within and Beyond Anthropology,"E.A. Quinn, Aunchalee E.L. Palmquist, and Cecília Tomori",2023,"Anthropology has a rich tradition of critically examining lactation and infant feeding in comparative perspectives across diverse contemporary cultural settings and in historical and evolutionary contexts (Tomori et al. 2018). The process and practices of lactation are particularly suited to anthropological study as lactation is fundamentally a biocultural phenomenon. It is simultaneously grounded in the deep evolutionary history of mammals and also uniquely human. Lactation is foundational for the survival and nurture of exceptionally immature human infants who require close bodily contact, frequent feeding, and care (Rosenberg 2021, Trevathan & Rosenberg 2016). Whether, how, and by whom lactation is practiced throughout human history and in contemporary cultures, however, depend on the broader sociocultural and political economic contexts in which people live because they rely on the intergenerational passage of knowledge of this embodied practice (Tomori et al. 2018, 2022a). This practice builds persons, kin, and community and is entangled in the reproduction of bodies and social orders. Opportunities for diversification and expansion of infant feeding practices have also been profoundly influenced by technological and scientific innovations, but also by environmental degradation and political-ecological upheavals driven by climate change. The diverse approaches of the field have provided unique strengths in conceptualizing and empirically examining biocultural lactation, as anthropology mobilizes a variety of analytical lenses across the natural and social sciences and humanities. Drawing on these perspectives, anthropology has been pivotal in challenging ethnocentric assumptions about infant feeding practices and made important interventions into other fields’ conceptualizations of these issues, including history, sociology, women's and gender studies, science and technology studies, law, medicine, nursing, and global public health. This diversity of perspectives and methodologies, however, also creates unique challenges and has led to considerable fragmentation within anthropology around lactation.",vol52.13
A Linguistic Anthropology of Images,Constantine V. Nakassis,2023,"A linguistic anthropology of images doesn't exist. This statement is true in that images have not served as a central object of concerted theoretical explication for linguistic anthropology for most of its history (as, e.g., language, interaction, and ideology have). The statement, however, is false in at least three ways. First, linguistic anthropologists have long analyzed images of various sorts (photographs, films, etc.), even if they have not always theorized the image as such. Second, some recent research in the field has topicalized the image as object for theorization (as I review in what follows). But most importantly, this statement is falsified once we realize that linguistic anthropology has developed an account of images—sans la lettre and avant l'image, as it were—in its analysis of the pragmatic poetics of discourse. In this review, I work through these three falsifications to spell out and paint a picture of what a linguistic anthropology of images might be, with a particular focus on leveraging the third (the account of the image in discourse, that is, discourse as image) to add to the second (theorizing the image as such).",vol52.14
The Great Pirahã Brouhaha: Linguistic Diversity and Cognitive Universality,Janet Chernela,2023,"Few disputes in academia have been as colorful or bombastic as the brouhaha surrounding the 2005 paper that Daniel Everett published in Current Anthropology, challenging theories of universal grammar and proclaiming the power of culture to constrain and shape cognitive faculties (Everett 2005, pp. 621, 634). Working with the Pirahã, a group of about 300 native people living in the Amazon basin of Brazil, Everett claimed to have found one of the simplest language systems yet documented.

Pirahã, Everett reported, has no numbers or concept of counting; no fixed terms for colors; no perfect tense; no tradition of art or drawing; no creation myths or fiction; no individual or collective memory deeper than two generations; the simplest kinship system known; and, after more than 200 years of regular contact with Brazilian settlers, no ability to communicate in any language other than Pirahã. Everett (2005) attributed this “surprising simplicity” to a cultural principle he called the “immediacy of experience,” in which speakers are limited to referencing only present-time, concrete experience (p. 621).

The most truculent of Everett's claims, however, is his contention that Pirahã syntax displays no evidence of recursive embedding—the capacity of sentences to refer back to themselves indefinitely. The point is consequential because recursion is said by universal grammarians (hereafter, universalists) to be the only design feature of language that is unique to humans and present in all human languages (Hauser et al. 2002, p. 1569). Everett believed that his findings would have the power to undermine that theory. In his 2005 article, he threw down the gauntlet, spurring a debate that would continue for nearly two decades. Linguists from several disciplinary backgrounds entered the fray, including linguistic anthropologists.",vol52.15
The Invisible Labor and Ethics of Interpreting,Laura Kunreuther and Sonya Rao,2023,"In the 2021 American Anthropological Association presidential address, Gupta & Stoolman asked why anthropologists “persist in erasing the labor of those with less cultural and educational capital—translators, teachers in the field, students, and interlocutors in academic settings” (Gupta & Stoolman 2022, p. 786). In this review, we call for heightened recognition of the work of one category implicitly referred to here: interpreters. Interpreters are essential in global and multilingual contexts. Their labor enables global institutions to realize inclusive aspirations. Not coincidentally, then, interpreters are at the center of arenas that anthropologists study: global capitalism, mass media and mediation, Deaf cultures, global health, refugee and migration studies, the humanitarian industry, neoliberalism, multilingualism, and the ethics of fieldwork. Because interpreters work in the nodes of massive economic and political projects, including within anthropologists’ own projects, ethnographic attention to their labor pushes us to think more reflexively about our own professional ethics and the paradoxes of global capitalism within which both interpreters and anthropologists work.

Interpreters engage in embodied communicative labor through the medium of speech or sign language (Koomen 2014, Marie & Friedner 2021, Rao 2021a). Like other forms of communicative labor, it is often devalued, unrecognized, and uncompensated—a form of invisible labor (Crain et al. 2016, Hatton 2017). Interpreters historically tend to be of lower status (women, children, marginalized or coerced workers, servants, slaves), which contributes to this devaluation. In the scholarship about interpreters, invisibility remains a contested frame for discussions about interpreters’ ideal professional roles. Interpreters’ invisible labor overlaps with related forms of labor encompassed within interpreting work that are also often unacknowledged: affective and emotional labor (Hochschild 2012, Mankekar & Gupta 2016) as well as care labor (García-Sánchez 2018). Together, these forms of invisible labor reveal how capital extracts value from “activities it does not recognize as productive [work]” (Lukács 2020, p. 17).
",vol52.16
"Social Movements, Power, and Mediated Visibility",Narges Bajoghli,2023,"Smartphones and their inherent visuality have come to consume more of our daily lives since they were introduced as a mass consumer product in the late 2000s. As the underlying technology has become cheaper, their reach has become global (Geismar & Knox 2021). The subsequent popularization of social media and texting platforms has impacted the quotidian rhythms of how we live, interact, and communicate. We are inundated with media on multiple platforms, and their speedy and seemingly ubiquitous circulation impact how we organize ourselves, demand change, rebel, and are, in turn, surveilled, manipulated, and drawn into larger media wars.1 In this article, I discuss current research in anthropology and related fields on the intersections of these topics and point to potential areas for further research for ethnographers in this fast-paced, ever-changing terrain.

This article was initially supposed to be about visual media and social movements. But using prevailing anthropological approaches to studying media, including applying a critical lens to the ways in which visuality is incorporated within larger “media worlds” of production, circulation, and consumption (Ginsburg et al. 2002), it became imperative to bring in the study of hegemonic power to understand more critically the struggles of our times and what social movements are up against in order to become visible in the crowded media environment predominated by social media. At the heart of this article is a discussion not of visual media per se, but rather of how social movements attempt to become visible in today's (screen-saturated) media environment, how those in power seek to make these movements less visible, and what this struggle portends for today's politics.",vol52.17
Language and Race: Settler Colonial Consequences and Epistemic Disruptions,Shalini Shankar,2023,"Linguistic anthropology cannot be decolonized. Or can it? While ways of seeing, hearing, recording, analyzing, writing, publishing, reading, and citing have undoubtedly transformed since Franz Boas (1911) established the anthropological study of language, the field of linguistic anthropology remains bound by the consequences of empire and White supremacy that initially enabled it. Enduring colonial ideologies and institutions, along with Boas's “salvage anthropology,” which separated race and language, have enshrined White racism in anthropological studies of language as well as among linguistic anthropologists.

This article reviews major anthropological paradigms that link the study of language and race. It focuses on the United States as an exemplar of a settler colonial nation that continues to use language as a tool of racialization to bolster White supremacy. Furthering Boas's concept of linguistic relativity, decades of studies analyzed power and inequality with attention to gender, class, and ethnicity, but not race. Ethnographic research on the consequences of settler colonial linguistic racialization was first conducted by Latinx (Zentella 1997) and White women (Hill 1998, Urciuoli 1996). The gender imbalance of this epistemological labor is hardly coincidental; rather, it mirrors the White patriarchal structures of academia, those of colonialism itself.",vol52.18
Making a Difference: The Political Life of Religious Conversion,Michal Kravel-Tovi,2023,"Ostensibly, religious conversion is about making change in one's life. Across the range of disciplinary engagements with the topic of religious conversion (anthropology included), the notion of change has set both the terms and the clusters of questions around which scholarly discussion on the subject has evolved. The nature of change indexed by this concept varies greatly. Conversion is sometimes described in dramatic terms, such as “transformation,” “departure,” “break,” and “ruptures” (Meyer 1998, Thangaraj 2015), and sometimes in more benign terms such as “reorganization” or “passages” (Austin-Broos 2003, Frigerio 2007). It is framed as either a radical turning point—a complete break with the previous self (Beckford 1978); a gradual, partial, and fluid change (Lacar 2001, van Nieuwkerk 2006, Reidhead & Reidhead 2003); an exploratory engagement (e.g., Kraft 2017)—or an ongoing labor and aspiration, a steady quality of religious experience (Coleman 2003). Conversion can be forced, can be an outcome of capitulation, can be sought out voluntarily, or can be situated in a complex structure-agency configuration (Kravel-Tovi 2012, 2019; Smilde 2007; van der Veer 2006). It can be perceived by converts as a nonissue (Meintel 2007), conducted offhandedly, or solemnized by way of formal ritual (Kravel-Tovi 2017, pp. 192–202; Wimberley et al. 1975). The change entailed can be described as a “paradigmatic change” (Jones 1978), “a change in the universe of discourse” (Travisano 1970), a “change of heart” (Heirich 1977), or a “change of identity” (Sachs-Norris 2003), to mention only a few of the terms of choice. These multiple and important varieties notwithstanding, the common point of departure is that conversion occasions a significant change, often with a definite direction and destination.

Ultimately, the interdisciplinary field of conversion studies has been highly engaged with—and, at times, haunted by—the attempt to define itself by assessing the quality, pace, and scope of changes that warrant the rubric of conversion (e.g., Meintel 2007, Rambo 1993, Travisano 1970). When anthropologists entered the field, they questioned the coherence and strength of religious conversion as an analytic category (Asad 1993, p. 47; Chua 2012; Comaroff & Comaroff 1991, pp. 249–58; Roberts 2016). Specifically, scholars have critically observed that the notion of a significant personal change provides a thin and simplified umbrella, imposing the existence of a false conceptual unity on what is, undoubtedly, a highly variable phenomenon within and beyond the Western world. After all, in both indigenous and scholarly discourses, religious conversion denotes an extensive array of changes. It denotes not only the adoption of another religion, but also mass spiritual effervescence, religious awakenings, rebirth, boundary crossings between religious affiliations within the same religion, and trajectories of repentance. Equally important, the concept of religious conversion has been criticized for generating a reified, supposedly universal and stable understanding of religion and religious faith (Comaroff & Comaroff 1991, p. 251), while also masking the Western, modern, and Christian ideological biases of these analytic constructions (Asad 1996, pp. 265–66).",vol52.19
"Critical University Studies
",Vineeta Singh and Neha Vora,2023,"The 2020s have been marked by events of great significance to everyday people as well as national and international institutions, including the global lockdown and financial impacts of COVID-19, the resurgence of Black Lives Matter movements around the world following the murder of George Floyd, an attack on the US Capitol by right-wing extremists and the continuing rise of right-wing populism in many parts of Europe, and US military withdrawal from Afghanistan after more than 20 years, to name just a few. What is the relationship of institutions of higher education to such events and actions? As we were completing this piece, we were following the largest strike of university workers in US history, at all the University of California (UC) campuses, which followed on the heels of a graduate student worker cost-of-living strike in the UC system in 2020. What is the relationship between these strikes and the broader events of the last three years? How do academic labor, study, and knowledge production impact other institutions, such as militaries, states, stock markets, and media, and how are they in turn impacted? In this article, we explore the field that has come to be known as critical university studies (CUS), an interdisciplinary body of scholarship that begins to answer these questions.

Favoring an expansive definition of CUS, we draw from scholars who trace the historical origins of the American university system to the slave trade, racial science, and Native American ethnic cleansing projects (Adams 1995; Stein 2016, 2022; Wilder 2013), as well as scholars who bring abolitionist and decolonial stances to highlight how the university not only is foundationally violent and exclusionary, but continues to perpetuate state interests, carceral and settler logics, empire, and antiblackness in its everyday practices as well as through its knowledge production (Chatterjee & Maira 2014, Ferguson 2012, Grande 2018, Harney & Moten 2013, Trouillot 2003). Many of these approaches come out of anti-imperialist, anticapitalist, and feminist activist movements spearheaded by student activists on college campuses (see, for example, AUIP Editor. Collect. 2010, Ferguson 2017, Libcom 2009).",vol52.20
Remarking the Unmarked: An Anthropology of Masculinity Redux,Matthew Gutmann,2023,"In 1997, when the first review article addressing issues of men and masculinities and men as men appeared in the Annual Review of Anthropology (Gutmann 1997), it was evident that the subject was understudied. In the following years, hundreds of books and articles appeared in what some have called the “ethnographic moment” in men and masculinities studies overall (Connell & Messerschmidt 2005). These studies accomplished in part a filling-in-the-blanks and offered refutations of previous self-satisfied views that as often as not were based on personal experiences and opinions more than on actual research and grounded analysis. And, as always, the best work also helped to refute racist and postcolonial stereotypes, for instance, ethnographies of masculinities in predominantly Muslim countries, which confronted Islamophobia in various guises around the world (see Atshan 2020, Boellstorff 2005, Ewing 2008, Ghannam 2013, Inhorn 2012, Moussawi 2020, Naguib 2015, Peletz 2021).

This profusion of ethnographies has proved valuable in documenting and conceptualizing men and masculinities around the world and through history, thus marking these previously taken-for-granted categories. This new article aims to survey the state-of-the-art studies of men and masculinities in anthropology and ethnography from other disciplines; the emphasis here is on cultural anthropology, but reference is also needed to biological (for example, Bribiescas 2005; Fuentes 2012, 2021), linguistic (for example, Lawson 2020), and archaeological anthropology (for example, Tung 2021, Voss 2008), where important work since 2000 has been done on men, masculinities, violence, sexuality, and similar subjects. Similarly, most citations are to English-language texts, but a small selection of indispensable work in other languages is mentioned. This review addresses the main topical areas in the anthropology of men and masculinities, theoretical frameworks used by and debates among anthropologists and other scholars working on relevant topics, anthropology's main impact in the field more widely, what has changed since the 1990s, and what new challenges this area of study may tackle in the future.",vol52.21
Steps to an Ecology of Algorithms,Willem Schinkel,2023,"Here is a definition of algorithms: Algorithms are standardized ways of satisfying if-then conditionals, often working with Boolean binary values and running on electric circuits, operating autonomously, depending on varying degrees of freedom. Such a definition is of little help to social scientists or to anyone else for that matter. What does it mean to say that algorithms do things? What should anthropology, and social science more broadly, want from, and in, the study of algorithms? And what does it even mean to study algorithms? This review draws together a number of literatures to outline one possible answer to the question of how to study algorithms. That answer is that we should study algorithmic ecologies.

Algorithms have been studied as organizers of attention and addiction (Kockelman 2013, Seaver 2019), as shapers of taste and objects of care and capture (Seaver 2022), and as shapers of publics (Gillespie 2014, Crawford 2016). They have been considered as self-learning drivers of automation (Lowrie 2018) and as powerful fetishes (Thomas et al. 2018). Algorithms have been argued to reorganize modern rationality and vision (Erickson et al. 2013, Halpern 2014, Totaro & Ninno 2014). Studies have focused, among other things, on music improvisation labs (Wilf 2013), music recommender companies (Seaver 2017), precision warfare (Suchman 2020), dating website companies (Illouz 2013), search engines (Gillespie 2014), marketing and web analytic companies (Cheney-Lippold 2011), plagiarism software (Introna 2016), works of art (de Vries & Schinkel 2019), and Netflix (Hallinan & Striphas 2016). Programmatic texts have appeared, pointing the way forward for anthropological studies of algorithms (Dourish 2016; Seaver 2017, 2018), and there is now even an Annual Review of Anthropology article.",vol52.22
"Global Health Interventions: The Military, the Magic Bullet, the Deterministic Model—and Intervention Otherwise","Emily Yates-Doerr, Lauren Carruth, Gideon Lasco, and Rosario García-Meza",2023,"One popular account of global health describes the field as a “collection of problems” that solidified at the start of the twenty-first century, in which a group of people—mostly white men, mostly from the so-called Global North—adopted an approach to health intervention that supplanted the twentieth-century field known as international health (Farmer 2013; see also Brown et al. 2006). In this account, global health comprises a coalition of philanthropic, governmental, nongovernmental, corporate, clinical, and university experts charged with confronting medical pathologies and threats to biosecurity. Packard (2016) writes in his history of the field that “global health” has been constituted as a series of “interventions into the lives of other peoples.”

This history reflects the establishment of global health institutions and the production of global health knowledge and expertise. One study finds that more than 85% of the organizations active in global health or global health policy are headquartered in Europe or North America, and more than 80% of the leaders of global health organizations are nationals of high-income countries, with women holding less than 5% of leadership roles (Davies et al. 2019; Glob. Health 50/50 2020, pp. 17, 26, 30; van Daalen et al. 2020). Racism within global health institutions compounds gender, geographic, and class disparities (Büyüm et al. 2020, Yam et al. 2021). Bhakuni & Abimbola (2021) find that even within the academic field of global health, authorship practices, research partnerships, publishing choices, research questions asked, and methods used, “are peppered with epistemic wrongs that lead to or exacerbate epistemic injustice” (p. e1465). Reflecting on how poorly the United States and United Kingdom handled the outbreak of COVID-19, Dalglish (2020) argues that “the pandemic has given the lie to the notion that [global health] expertise is concentrated in, or at least best channeled by, legacy powers and historically rich states” (p. 1189; see also Manderson et al. 2021).",vol52.23
